Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766862686466,1992,1494,1494,1494,28.965866088867188,46.891719818115234,94.31449127197266,95.37361907958984,5346.631408691406,30765.071533203125,18077.102966308594,246.09637451171875,12772839424,3227078656,7517659136,0
208,1766862686467,1992,1494,1494,1494,100,100,100,100,5346.638916015625,30765.10772705078,18077.130004882813,246.09637451171875,12772839424,3227078656,7518564352,0
203,1766862686675,1992,1494,1494,1494,87.44479370117188,87.78986358642578,84.24794006347656,98.05077362060547,5346.876770019531,30766.691955566406,18078.275390625,246.10284423828125,12772839424,3227078656,7529414656,0
199,1766862686879,1992,1494,1494,1494,78.3705062866211,47.436405181884766,61.40272521972656,65.31437683105469,5347.072082519531,30768.113830566406,18079.29931640625,246.10284423828125,12772839424,3227078656,7546445824,0
200,1766862687080,1992,1494,1494,1494,79.10649108886719,83.85736846923828,67.892333984375,87.7206802368164,5347.300964355469,30769.573852539063,18080.346618652344,246.10369873046875,12772839424,3227078656,7553130496,0
203,1766862687280,1992,1494,1494,1494,80.62908172607422,73.17301940917969,77.94735717773438,98.0527114868164,5347.5340576171875,30771.06689453125,18081.41583251953,246.1163330078125,12772839424,3227078656,7559729152,0
200,1766862687483,1992,1494,1494,1494,83.66385650634766,71.97069549560547,64.3477783203125,82.49178314208984,5347.8133544921875,30772.766052246094,18082.599975585938,246.129638671875,12772839424,3227078656,7563890688,0
200,1766862687683,1992,1494,1494,1494,77.46883392333984,81.48605346679688,81.64380645751953,73.911865234375,5348.0137939453125,30773.994262695313,18083.45703125,246.14776611328125,12772839424,3227078656,7568723968,0
199,1766862687884,1992,1494,1494,1494,90.52670288085938,81.37738037109375,83.82948303222656,96.3666763305664,5348.257385253906,30775.52752685547,18084.55743408203,246.171142578125,12772839424,3227078656,7583055872,0
200,1766862688084,1992,1494,1494,1494,93.72046661376953,83.050537109375,82.50528717041016,73.57593536376953,5348.485412597656,30777.036499023438,18085.647521972656,246.180419921875,12772839424,3227078656,7587631104,0
199,1766862688284,1992,1494,1494,1494,76.04832458496094,77.49044799804688,75.06231689453125,88.52204132080078,5348.717956542969,30778.55291748047,18086.73358154297,246.18548583984375,12772839424,3227078656,7585464320,0
200,1766862688484,1992,1494,1494,1494,89.18115234375,88.85242462158203,84.24323272705078,88.01934814453125,5348.968444824219,30780.071350097656,18087.81719970703,246.19146728515625,12772839424,3227078656,7600574464,0
200,1766862688685,1992,1494,1494,1494,82.34735107421875,87.3787612915039,81.30526733398438,95.09945678710938,5349.25830078125,30781.621704101563,18088.8740234375,246.24896240234375,12772839424,3227078656,7600893952,0
200,1766862688886,1992,1494,1494,1494,84.69989013671875,78.84361267089844,77.77359008789063,91.15684509277344,5349.5716552734375,30783.518432617188,18090.22821044922,246.254150390625,12772839424,3227078656,7597436928,0
204,1766862689086,1992,1494,1494,1494,97.0539321899414,90.9424057006836,87.97888946533203,90.7503890991211,5349.761779785156,30784.527404785156,18090.902893066406,246.2960205078125,12772839424,3227078656,7546916864,0
3,1766862689291,1992,1494,1494,1494,33.095855712890625,50.7870979309082,91.40927124023438,70.84278869628906,5349.933532714844,30785.55499267578,18091.51953125,246.30804443359375,12772839424,3227078656,7531507712,0
